unique_id,alias,checksum,materialization,tags,meta,owner,database_name,schema_name,depends_on_macros,depends_on_nodes,description,name,package_name,original_path,path,patch_path,generated_at,metadata_hash
model.dbt_chatGPT_suggestion.int_accounts_and_groups_joined,int_accounts_and_groups_joined,f15332c0477ff7a68c564d772d350c9e32f05e4b396bf62dd5452fda0a35f34b,view,[],{},[],postgres,transformed,[],"[""model.dbt_chatGPT_suggestion.stg_accounts"", ""model.dbt_chatGPT_suggestion.stg_groups""]","",int_accounts_and_groups_joined,dbt_chatGPT_suggestion,models\intermediate\int_accounts_and_groups_joined.sql,intermediate\int_accounts_and_groups_joined.sql,,2024-03-08 10:52:44,0917a90c9ed68f4899bbdc23699721cd
model.dbt_chatGPT_suggestion.int_grouped_on_group_id,int_grouped_on_group_id,710efc34aaac77e8a1d7a83028419698396f2983d2bbb941c658c0f6480876dc,view,[],{},[],postgres,transformed,[],"[""model.dbt_chatGPT_suggestion.int_transactions_and_accounts_and_groups_joined""]","",int_grouped_on_group_id,dbt_chatGPT_suggestion,models\intermediate\int_grouped_on_group_id.sql,intermediate\int_grouped_on_group_id.sql,,2024-03-08 10:52:44,66b891d98e8b89076916538a5de865d5
model.dbt_chatGPT_suggestion.int_transactions_and_accounts_and_groups_joined,int_transactions_and_accounts_and_groups_joined,f4c57596a56c1fb6e69ecc4ce3d172e696dcff58853c139ff422a1d31226009c,view,[],{},[],postgres,transformed,[],"[""model.dbt_chatGPT_suggestion.int_accounts_and_groups_joined"", ""model.dbt_chatGPT_suggestion.int_union_of_transactions""]","",int_transactions_and_accounts_and_groups_joined,dbt_chatGPT_suggestion,models\intermediate\int_transactions_and_accounts_and_groups_joined.sql,intermediate\int_transactions_and_accounts_and_groups_joined.sql,,2024-03-08 10:52:44,51d2afce1316fefd9eccf8ad0f6da55c
model.dbt_chatGPT_suggestion.int_union_of_transactions,int_union_of_transactions,e468372af8116154d5e8f67d5953f282edc5add045effed9ae7b0a678db6697e,table,[],{},[],postgres,transformed,[],"[""model.dbt_chatGPT_suggestion.stg_transactions_1"", ""model.dbt_chatGPT_suggestion.stg_transactions_2"", ""model.dbt_chatGPT_suggestion.stg_transactions_3"", ""model.dbt_chatGPT_suggestion.stg_transactions_4""]","",int_union_of_transactions,dbt_chatGPT_suggestion,models\intermediate\int_union_of_transactions.sql,intermediate\int_union_of_transactions.sql,,2024-03-08 10:52:44,ba27433f6e24b656b36789cb18c1c0e4
model.dbt_chatGPT_suggestion.grouped_transactions_unioned_with_original,grouped_transactions_unioned_with_original,acb639e9f58729ede8f2aa604643a911d8a0d6d111a25d3701df5c8a722e55cf,table,[],{},[],postgres,transformed,[],"[""model.dbt_chatGPT_suggestion.int_grouped_on_group_id"", ""model.dbt_chatGPT_suggestion.int_transactions_and_accounts_and_groups_joined""]","",grouped_transactions_unioned_with_original,dbt_chatGPT_suggestion,models\marts\grouped_transactions_unioned_with_original.sql,marts\grouped_transactions_unioned_with_original.sql,,2024-03-08 10:52:44,63702f46956501ca96766b65692d61e6
model.dbt_chatGPT_suggestion.stg_accounts,stg_accounts,f6067f280567a35109f2b76c72083d77e28aba9731c0fcd3692190ac9d61a837,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.accounts""]","",stg_accounts,dbt_chatGPT_suggestion,models\staging\stg_accounts.sql,staging\stg_accounts.sql,,2024-03-08 10:52:44,374349ad999a527b61ace4b2627574c7
model.dbt_chatGPT_suggestion.stg_groups,stg_groups,c1c2b29dda55247ef53ed287a607871762045533d40a0363f4bb5a868367971c,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.groups""]","",stg_groups,dbt_chatGPT_suggestion,models\staging\stg_groups.sql,staging\stg_groups.sql,,2024-03-08 10:52:44,62b5fda0770ebc6f05a7ef5350651c26
model.dbt_chatGPT_suggestion.stg_transactions_1,stg_transactions_1,229241de71a3fcaf0254056b4acc4ae53549e91e4f421944c7224d34bf11e813,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.transactions_1""]","",stg_transactions_1,dbt_chatGPT_suggestion,models\staging\stg_transactions_1.sql,staging\stg_transactions_1.sql,,2024-03-08 10:52:44,2e5b98ad247278befe9a07a6318d5b33
model.dbt_chatGPT_suggestion.stg_transactions_2,stg_transactions_2,309da53b49bc4c1b12ea3690032bb1eeb951a632c7dbf897969722d8565108c0,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.transactions_2""]","",stg_transactions_2,dbt_chatGPT_suggestion,models\staging\stg_transactions_2.sql,staging\stg_transactions_2.sql,,2024-03-08 10:52:44,2b35873ef6c705174b6a35ce507ba54c
model.dbt_chatGPT_suggestion.stg_transactions_3,stg_transactions_3,a121d09d03ce4b6f437b9133066f798e9605dcb25751322a49a04ad3d15e9b3d,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.transactions_3""]","",stg_transactions_3,dbt_chatGPT_suggestion,models\staging\stg_transactions_3.sql,staging\stg_transactions_3.sql,,2024-03-08 10:52:44,73c806e2205761d727125349df002716
model.dbt_chatGPT_suggestion.stg_transactions_4,stg_transactions_4,a0ba30f4794562157e2bba77d06a90c8bf8d4101ee2738893a2c3ed95b8c712d,view,[],{},[],postgres,transformed,[],"[""source.dbt_chatGPT_suggestion.local_postgres.transactions_4""]","",stg_transactions_4,dbt_chatGPT_suggestion,models\staging\stg_transactions_4.sql,staging\stg_transactions_4.sql,,2024-03-08 10:52:44,dcf68b9136a7b6314d9245437644b837
model.elementary.alerts_anomaly_detection,alerts_anomaly_detection,0d2bb9c33ded81e6501643abeeacde1b21695f406b861f748923e4bd9ce0c4c8,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.get_config_var""]","[""model.elementary.elementary_test_results""]","A view that is used by the Elementary CLI to generate alerts on data anomalies detected using the elementary anomaly detection tests. The view filters alerts according to configuration.
",alerts_anomaly_detection,elementary,models\edr\alerts\alerts_anomaly_detection.sql,edr\alerts\alerts_anomaly_detection.sql,elementary://models\alerts_views.yml,2024-03-08 10:52:44,93c9967dd80976b4042ba0d33c1e345b
model.elementary.alerts_dbt_models,alerts_dbt_models,6b76b9a7b5f40ef4f9ff316fe90b4d48451442cafac243dc5abf0ac10b4c67eb,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.edr_cast_as_timestamp"", ""macro.elementary.get_config_var""]","[""model.elementary.model_run_results"", ""model.elementary.snapshot_run_results""]","A view that is used by the Elementary CLI to generate models alerts, including all the fields the alert will include such as owner, tags, error message, etc. It joins data about models and snapshots run results, and filters alerts according to configuration.
",alerts_dbt_models,elementary,models\edr\alerts\alerts_dbt_models.sql,edr\alerts\alerts_dbt_models.sql,elementary://models\alerts_views.yml,2024-03-08 10:52:44,f3a9bbed17a3e14d8415754f0f5bae2c
model.elementary.alerts_dbt_source_freshness,alerts_dbt_source_freshness,59b6900cf93ce1ac9e61f07c3358a21aecda80b7980e55e4387c80ea3463f012,view,[],{},[],postgres,transformed_elementary,"[""macro.elementary.edr_cast_as_timestamp"", ""macro.elementary.get_config_var""]","[""model.elementary.dbt_source_freshness_results"", ""model.elementary.dbt_sources""]","",alerts_dbt_source_freshness,elementary,models\edr\alerts\alerts_dbt_source_freshness.sql,edr\alerts\alerts_dbt_source_freshness.sql,,2024-03-08 10:52:44,a9eb319ff02442c7267c87175ec3868e
model.view_selection_tool.int_referenced_models,int_referenced_models,8faacbff3c314481039aa44c4a21fc4881311103e7791ca34dcb0c26fbdd7d43,view,[],{},[],postgres,transformed_view_selection_tool,[],"[""model.view_selection_tool.int_keep_models_relevant_package""]","",int_referenced_models,view_selection_tool,models\intermediate\int_referenced_models.sql,intermediate\int_referenced_models.sql,,2024-03-08 10:52:44,b9e6ea9b181dde30dd1e702a853e46e4
